timestamp,Accel_Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Time (s),X (hPa),Gyro_Time (s),Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s),LinAccel_Time (s),LinAccel_X (m/s^2),LinAccel_Y (m/s^2),LinAccel_Z (m/s^2),app,H,Inclination (degrees)
0,0.5079329250866931,0.5474242401960697,3.9162629911829714,9.156917214511813,-0.5413802917,1016.8202210000002,0.5218600694207777,-0.00042877487309542635,-0.00016149188597135004,-0.000730886534011129,0.5218600694207777,0.01015021953090501,0.10016703071215069,0.12621651761763078,X,3.9548261418840203,23.359060241429074
0,1.104607817297497,0.2876466101941869,4.113733208403004,9.06752552793235,0.4591997083,1016.8202210000002,1.1201267059852642,-0.0009611275064275324,1.001814513175522e-05,-0.0007312370777501149,1.1201267059852642,0.010150219543339969,0.09966008645527706,0.12621685536480512,X,4.14917233536437,24.587697815900697
1,1.7796115607383234,0.04759356358907555,4.335050838298693,8.96139405781359,1.459774708,1016.8202210000002,1.796549753477867,-0.0012987289993264676,0.00021618919790697056,-0.0007317333480667861,1.796549753477867,0.010150219416639957,0.0991196826924894,0.1262173955283357,X,4.366980669212938,25.980786199108216
2,2.5700539641676925,-0.1348833272881492,4.579827693452925,8.83457958507562,2.460347708,1016.8202210000002,2.5880726164555,-0.0012414899261793653,0.0004849301156170737,-0.000732258257752112,2.5880726164555,0.010150219035704896,0.09856473076947715,0.12621807297050303,X,4.607197137643471,27.544752249899044
3,3.4646572368377164,-0.22495319749075135,4.837721020612602,8.6874957112224,3.460925708,1016.8202210000002,3.483347358171977,-0.0007372889266289267,0.0007749369522927334,-0.0007325094467487846,3.483347358171977,0.01015021828788479,0.09805272796118021,0.12621864016709178,X,4.8590889766418774,29.226702784482832
4,4.430588520518486,-0.2291887567161962,5.122352196323314,8.506536177829293,4.461503708,1016.8202210000002,4.449600099559963,-3.0047253830219246e-05,0.0009319389644670195,-0.0007319333696193032,4.449600099559963,0.010150217140096743,0.0976979191329591,0.12621856955805003,X,5.137215868442334,31.140572212458046
5,5.435016346334555,-0.19956583137569067,5.461120332773711,8.27361174711356,5.012451708,1016.8202210000002,5.454118157913504,0.000474294364192392,0.0007260013278597436,-0.0007297298075986518,5.454118157913504,0.010150215773630974,0.09770315508053358,0.1262170000356699,X,5.470900950498786,33.48551227797885
6,6.454085975248905,-0.19970585403775024,5.843886557231473,7.999433469554313,6.013025708,1016.8202210000002,6.473158218719466,0.0005230751064270557,6.864860567555115e-05,-0.0007250240329475374,6.473158218719466,0.010150214770592988,0.09814751883467943,0.12621282533178077,X,5.851703806684366,36.18785441037191
7,7.474147317861854,-0.26522102918595075,6.208339991494753,7.730380431729496,7.013600708,1016.8202210000002,7.493148514276894,0.0001530445462783333,-0.0007933220304471245,-0.000717332573734293,7.493148514276894,0.010150215303567928,0.09876973333210579,0.12620506837835851,X,6.218571261671842,38.80818610911348
8,8.489389632783455,-0.3929700713491979,6.484931682894077,7.517201948401047,8.014178708,1016.8202210000002,8.508321826328267,-0.00045758758422758457,-0.0014238212423554047,-0.0007074357775868305,8.508321826328267,0.010150219209119554,0.0991588475854192,0.1261937037357475,X,6.503367017588636,40.85820578287752
9,9.49872064900927,-0.5651354048547789,6.641249158525185,7.3855877559480865,9.014756708,1016.8202210000002,9.517603297737594,-0.0011437657661243484,-0.001579817678487847,-0.0006986654970510616,9.517603297737594,0.010150228731840485,0.09904976294389731,0.12618102788486765,X,6.675382562745572,42.1069392372574
10,10.503245572551547,-0.7690838550803359,6.685869139173901,7.332412125380004,10.01533171,1016.8202210000002,10.522100071650176,-0.001728503190922316,-0.0013773363048390802,-0.0006983567203716241,10.522100071650176,0.010150245637619827,0.09840099225914757,0.12617346103480653,X,6.744314661134917,42.60857770721134
11,11.504650109709045,-0.9906249844024504,6.649072580414338,7.338241083298059,11.01590871,1016.8202210000002,11.523492880776406,-0.0019856140521362195,-0.0010727957103190808,-0.0007187475203354643,11.523492880776406,0.010150269378456306,0.09741755693450983,0.12618321654159945,X,6.739191273492081,42.56348280865596
12,12.504379782584682,-1.2004713491085537,6.564071816076686,7.382255501556362,12.01648471,1016.8202210000002,12.52322076393081,-0.0017609598041287303,-0.0008047282683444377,-0.0007759543324655752,12.52322076393081,0.010150294159207915,0.09649389842110884,0.12622855843030376,X,6.687755221744842,42.172011269532426
13,13.503390597475157,-1.3593979490177797,6.4585280147177215,7.448776592209103,13.01706571,1016.8202210000002,13.522234370580355,-0.0010769812497878513,-0.0005448145281399672,-0.0008849545667690648,13.522234370580355,0.010150305261586078,0.09589225070008173,0.1263304703127636,X,6.609192297689077,41.57809968541197
14,14.502238122986908,-1.4460201419998948,6.357217357709771,7.522128070156705,14.01763471,1016.8202210000002,14.521085823138067,-3.405565174758164e-05,-0.0001476579833289823,-0.0010481766346142544,14.521085823138067,0.01015027597160781,0.09557555781650819,0.12650280832272418,X,6.522761681130702,40.9255441913867
