timestamp,Accel_Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Time (s),X (hPa),Gyro_Time (s),Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s),LinAccel_Time (s),LinAccel_X (m/s^2),LinAccel_Y (m/s^2),LinAccel_Z (m/s^2),app,H,Inclination (degrees)
0,0.5062641200607124,0.37542318615437187,7.25499287621471,6.585324894759717,-0.5548687917,1015.1026920000011,0.5100081200610433,-0.0009851579106257438,0.0014253361477475797,0.0005759928570238178,0.5100081200610433,0.0021697996394432506,-0.0033686527335586307,0.0029969591904524116,Instagram,7.2811028392353885,53.774122031273095
0,1.0719042160361292,0.4039075632638797,7.252596294667003,6.5876213717171925,0.4518082083,1015.1026920000008,1.0756482160507785,-0.0009851370718766922,0.0014253361492068267,0.0005794354974233356,1.0756482160507785,0.0021697992808839732,-0.0033686491021931047,0.0029981165767427823,Instagram,7.279028632470137,53.55415487799299
1,1.6828200388014034,0.43523346012288683,7.251671675443248,6.588514250581899,1.458461208,1015.1026920000004,1.6865640388360146,-0.0009850939080181728,0.0014253361563312233,0.0005834047312636829,1.6865640388360146,0.002169798562345351,-0.0033686427487746337,0.0030150901427871547,Instagram,7.278224671805687,53.19714352695584
2,2.3518236940403683,0.4689566682914901,7.253431768419744,6.586836018175997,2.465108208,1015.1026919999997,2.355567694096687,-0.0009850248755827805,0.0014253361725225352,0.0005860551969960512,2.355567694096687,0.002169797441428281,-0.003368633954070525,0.0030622424757298667,Instagram,7.279744527231332,52.6423136550055
3,3.065908373175687,0.4940226295390996,7.2593640615777035,6.581154341236214,3.471754208,1015.1026919999983,3.069652373245001,-0.0009849382991999813,0.0014253362000949993,0.0005837785508058851,3.069652373245001,0.0021697960784303268,-0.0033686249939384235,0.0031478491183778473,Instagram,7.28488386301088,51.946295136070624
3,3.8236732007532135,0.49144616291802784,7.270789193799616,6.570194352684591,3.821730208,1015.1026919999963,3.8274172008071274,-0.0009848658123630468,0.0014253362372156817,0.0005710542106794549,3.8274172008071274,0.0021697950198999853,-0.003368621489707358,0.0032650528309796567,Instagram,7.294798135200714,51.24065848324689
4,4.641602302454254,0.45267693616522303,7.287698254022269,6.553953116492776,4.895499208,1015.1026919999942,4.645346302434968,-0.000984874836895678,0.0014253362732033138,0.0005413376918030635,4.645346302434968,0.0021697953908249353,-0.0033686334927236746,0.0033773703299816295,Instagram,7.30949430626499,50.63916030110611
5,5.529056483536212,0.39219169567299744,7.306738582728804,6.535632836200099,5.969266208,1015.1026919999938,5.532800483352106,-0.0009850754216370124,0.0014253362829234298,0.0004898818310442724,5.532800483352106,0.0021697989821151194,-0.003368675216023115,0.0034246659491553614,Instagram,7.326081708427577,50.221031275229265
6,6.475508792185666,0.33822389295443,7.3203813081920455,6.522423777749124,,1015.1026919999968,6.479252791722792,-0.000985608946499408,0.0014253362226578463,0.0004193963318444,6.479252791722792,0.002169808027258663,-0.003368761664093108,0.0033789268258099065,Instagram,7.33802946619369,50.05986937020061
7,7.460556948955803,0.31373225547170513,7.32164818906678,6.52094547436178,7.042956208,1015.1026920000061,7.464300948120397,-0.0009866002793234361,0.0014253360322455436,0.00034888378859675433,7.464300948120397,0.0021698243719931788,-0.003368899951249231,0.0032852459349696503,Instagram,7.339200886277297,50.18658886408947
